Question,Answers,Comment,Instructions,Render as
何,"なに,なん","(L8) what
kunyomi: なに, なん, なに-, なん-
onyomi: カ",Type the reading!,Image
午,ご,"(L9) noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac
kunyomi: うま
onyomi: ゴ",Type the reading!,Image
後,"ご,あと,うし","(L9) behind, back, later
kunyomi: のち, うし.ろ, うしろ, あと, おく.れる
onyomi: ゴ, コウ",Type the reading!,Image
前,"ぜん,まえ","(L9) in front, before
kunyomi: まえ, -まえ
onyomi: ゼン",Type the reading!,Image
名,"めい,みょう,な","(L9) name, noted, distinguished, reputation
kunyomi: な, -な
onyomi: メイ, ミョウ",Type the reading!,Image
白,"はく,しろ","(L9) white
kunyomi: しろ, しら-, しろ.い
onyomi: ハク, ビャク",Type the reading!,Image
雨,"う,あめ","(L9) rain
kunyomi: あめ, あま-, -さめ
onyomi: ウ",Type the reading!,Image
書,"しょ,か","(L9) write
kunyomi: か.く, -が.き, -がき
onyomi: ショ",Type the reading!,Image
友,"ゆう,とも","(L9) friend
kunyomi: とも
onyomi: ユウ",Type the reading!,Image
間,"かん,げん,あいだ","(L9) interval, space
kunyomi: あいだ, ま, あい
onyomi: カン, ケン",Type the reading!,Image
家,"か,いえ,や","(L9) house, home, family, professional, expert, performer
kunyomi: いえ, や, うち
onyomi: カ, ケ",Type the reading!,Image
話,"わ,はな,はなし","(L9) tale, talk
kunyomi: はな.す, はなし
onyomi: ワ",Type the reading!,Image
少,"しょう,すこ,すく","(L9) few, little
kunyomi: すく.ない, すこ.し
onyomi: ショウ",Type the reading!,Image
古,"こ,ふる","(L9) old
kunyomi: ふる.い, ふる-, -ふる.す
onyomi: コ",Type the reading!,Image
知,"ち,し","(L9) know, wisdom
kunyomi: し.る, し.らせる
onyomi: チ",Type the reading!,Image
来,"らい,く,き,こ","(L9) come, due, next, cause, become
kunyomi: く.る, きた.る, きた.す, き.たす, き.たる, き, こ
onyomi: ライ, タイ",Type the reading!,Image
住,"じゅう,す","(L10) dwell, reside, live, inhabit
kunyomi: す.む, す.まう, -ず.まい
onyomi: ジュウ, ヂュウ, チュウ",Type the reading!,Image
正,"しょう,せい,ただ","(L10) correct, justice, righteous, 10**40
kunyomi: ただ.しい, ただ.す, まさ, まさ.に
onyomi: セイ, ショウ",Type the reading!,Image
年,"ねん,とし","(L10) year, counter for years
kunyomi: とし
onyomi: ネン",Type the reading!,Image
売,"ばい,う","(L10) sell
kunyomi: う.る, う.れる
onyomi: バイ",Type the reading!,Image
買,"ばい,か","(L10) buy
kunyomi: か.う
onyomi: バイ",Type the reading!,Image
町,"ちょう,まち","(L10) town, village, block, street
kunyomi: まち
onyomi: チョウ",Type the reading!,Image
長,"ちょう,なが","(L10) long, leader, superior, senior
kunyomi: なが.い, おさ
onyomi: チョウ",Type the reading!,Image
道,"どう,みち","(L10) road-way, street, district, journey, course, moral, teachings
kunyomi: みち, いう
onyomi: ドウ, トウ",Type the reading!,Image
雪,"せつ,ゆき","(L10) snow
kunyomi: ゆき
onyomi: セツ",Type the reading!,Image
立,"りつ,た","(L10) stand up, rise, set up, erect
kunyomi: た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる
onyomi: リツ, リュウ, リットル",Type the reading!,Image
自,じ,"(L10) oneself
kunyomi: みずか.ら, おの.ずから, おの.ずと
onyomi: ジ, シ",Type the reading!,Image
夜,"や,よる,よ","(L10) night, evening
kunyomi: よ, よる
onyomi: ヤ",Type the reading!,Image
朝,"ちょう,あさ","(L10) morning, dynasty, regime, epoch, period, (North) Korea
kunyomi: あさ
onyomi: チョウ",Type the reading!,Image
持,"じ,も","(L10) hold, have
kunyomi: も.つ, -も.ち, も.てる
onyomi: ジ",Type the reading!,Image
手,"しゅ,て","(L11) hand
kunyomi: て, て-, -て, た-
onyomi: シュ, ズ",Type the reading!,Image
紙,"し,がみ,かみ","(L11) paper
kunyomi: かみ
onyomi: シ",Type the reading!,Image
好,"こう,す,この","(L11) fond, pleasing, like something
kunyomi: この.む, す.く, よ.い, い.い
onyomi: コウ",Type the reading!,Image
近,"きん,ちか","(L11) near, early, akin, tantamount
kunyomi: ちか.い
onyomi: キン, コン",Type the reading!,Image
明,"めい,あか","(L11) bright, light
kunyomi: あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす
onyomi: メイ, ミョウ, ミン",Type the reading!,Image
病,びょう,"(L11) ill, sick
kunyomi: や.む, -や.み, やまい
onyomi: ビョウ, ヘイ",Type the reading!,Image
院,いん,"(L11) Inst., institution, temple, mansion, school
kunyomi: 
onyomi: イン",Type the reading!,Image
映,"えい,うつ","(L11) reflect, reflection, projection
kunyomi: うつ.る, うつ.す, は.える, -ば.え
onyomi: エイ",Type the reading!,Image
画,"が,かく","(L11) brush-stroke, picture
kunyomi: えが.く, かく.する, かぎ.る, はかりごと, はか.る
onyomi: ガ, カク, エ, カイ",Type the reading!,Image
歌,"か,うた","(L11) song, sing
kunyomi: うた, うた.う
onyomi: カ",Type the reading!,Image
市,"し,いち","(L11) market, city, town
kunyomi: いち
onyomi: シ",Type the reading!,Image
所,"じょ,しょ,ところ,どころ","(L11) place, extent
kunyomi: ところ, -ところ, どころ, とこ
onyomi: ショ",Type the reading!,Image
勉,"べん,つと","(L11) exertion, endeavour, encourage, strive, make effort, diligent
kunyomi: つと.める
onyomi: ベン",Type the reading!,Image
強,"きょう,ごう,つよ","(L11) strong
kunyomi: つよ.い, つよ.まる, つよ.める, し.いる, こわ.い
onyomi: キョウ, ゴウ",Type the reading!,Image
有,"ゆう,あ","(L11) possess, have, exist, happen, occur, approx
kunyomi: あ.る
onyomi: ユウ, ウ",Type the reading!,Image
旅,"りょ,たび","(L11) trip, travel
kunyomi: たび
onyomi: リョ",Type the reading!,Image
昔,むかし,"(L12) once upon a time, antiquity, old times
kunyomi: むかし
onyomi: セキ, シャク",Type the reading!,Image
々,symbol of repetition of a kanji,"(L12) 
kunyomi: 
onyomi: ",Type the reading!,Image
神,"じん,しん,こう,かみ","(L12) gods, mind, soul
kunyomi: かみ, かん-, こう-
onyomi: シン, ジン",Type the reading!,Image
早,"そう,はや","(L12) early, fast
kunyomi: はや.い, はや, はや-, はや.まる, はや.める, さ-
onyomi: ソウ, サッ",Type the reading!,Image
起,"き,お","(L12) rouse, wake up, get up
kunyomi: お.きる, お.こる, お.こす, おこ.す, た.つ
onyomi: キ",Type the reading!,Image
牛,"ぎゅう,うし","(L12) cow
kunyomi: うし
onyomi: ギュウ",Type the reading!,Image
使,"し,つか","(L12) use, send on a mission, order, messenger, envoy, ambassador, cause
kunyomi: つか.う, つか.い, -つか.い, -づか.い
onyomi: シ",Type the reading!,Image
働,"どう,はたら,ばたら","(L12) work, (kokuji)
kunyomi: はたら.く
onyomi: ドウ",Type the reading!,Image
連,"れん,つ","(L12) take along, lead, join, connect, party, gang, clique
kunyomi: つら.なる, つら.ねる, つ.れる, -づ.れ
onyomi: レン",Type the reading!,Image
別,"べつ,わか","(L12) separate, branch off, diverge, fork, another, extra, specially
kunyomi: わか.れる, わ.ける
onyomi: ベツ",Type the reading!,Image
度,ど,"(L12) degrees, occurrence, time, counter for occurrences, consider, attitude
kunyomi: たび, -た.い
onyomi: ド, ト, タク",Type the reading!,Image
赤,"せき,あか","(L12) red
kunyomi: あか, あか-, あか.い, あか.らむ, あか.らめる
onyomi: セキ, シャク",Type the reading!,Image
青,"せい,あお","(L12) blue, green
kunyomi: あお, あお-, あお.い
onyomi: セイ, ショウ",Type the reading!,Image
色,"しき,しょく,いろ","(L12) color
kunyomi: いろ
onyomi: ショク, シキ",Type the reading!,Image
物,"ぶつ,ぶっ,もの","(L13) thing, object, matter
kunyomi: もの, もの-
onyomi: ブツ, モツ",Type the reading!,Image
鳥,"ちょう,とり","(L13) bird, chicken
kunyomi: とり
onyomi: チョウ",Type the reading!,Image
料,りょう,"(L13) fee, materials
kunyomi: 
onyomi: リョウ",Type the reading!,Image
理,り,"(L13) logic, arrangement, reason, justice, truth
kunyomi: ことわり
onyomi: リ",Type the reading!,Image
特,"とく,とっ","(L13) special
kunyomi: 
onyomi: トク",Type the reading!,Image
安,"あん,やす","(L13) relax, cheap, low, quiet, rested, contented, peaceful
kunyomi: やす.い, やす.まる, やす, やす.らか
onyomi: アン",Type the reading!,Image
飯,はん,"(L13) meal, boiled rice
kunyomi: めし
onyomi: ハン",Type the reading!,Image
肉,にく,"(L13) meat
kunyomi: しし
onyomi: ニク",Type the reading!,Image
悪,"あく,わる","(L13) bad, vice, rascal, false, evil, wrong
kunyomi: わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む
onyomi: アク, オ",Type the reading!,Image
体,"たい,からだ","(L13) body, substance, object, reality, counter for images
kunyomi: からだ, かたち
onyomi: タイ, テイ",Type the reading!,Image
同,"どう,おな","(L13) same, agree, equal
kunyomi: おな.じ
onyomi: ドウ",Type the reading!,Image
着,"ちゃく,つ,き,ぎ","(L13) don, arrive, wear, counter for suits of clothing
kunyomi: き.る, き.せる, つ.く, つ.ける
onyomi: チャク, ジャク",Type the reading!,Image
空,"くう,そら,あ,から","(L13) empty, sky, void, vacant, vacuum
kunyomi: そら, あ.く, あ.き, あ.ける, から, す.く, す.かす, むな.しい
onyomi: クウ",Type the reading!,Image
港,"こう,みなと","(L13) harbor
kunyomi: みなと
onyomi: コウ",Type the reading!,Image
昼,"ちゅう,ひる","(L13) daytime, noon
kunyomi: ひる
onyomi: チュウ",Type the reading!,Image
海,"かい,うみ","(L13) sea, ocean
kunyomi: うみ
onyomi: カイ",Type the reading!,Image
彼,"かれ,かの","(L14) he, that, the
kunyomi: かれ, かの, か.の
onyomi: ヒ",Type the reading!,Image
代,"だい,か","(L14) substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee
kunyomi: か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ
onyomi: ダイ, タイ",Type the reading!,Image
留,"りゅう,る","(L14) detain, fasten, halt, stop
kunyomi: と.める, と.まる, とど.める, とど.まる, るうぶる
onyomi: リュウ, ル",Type the reading!,Image
族,ぞく,"(L14) tribe, family
kunyomi: 
onyomi: ゾク",Type the reading!,Image
親,"しん,おや,した","(L14) parent, intimacy, relative, familiarity, dealer (cards)
kunyomi: おや, おや-, した.しい, した.しむ
onyomi: シン",Type the reading!,Image
切,"せつ,き,きっ","(L14) cut, cutoff, be sharp
kunyomi: き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ, -ぎ.れ
onyomi: セツ, サイ",Type the reading!,Image
英,えい,"(L14) England, English, hero, outstanding, calyx
kunyomi: はなぶさ
onyomi: エイ",Type the reading!,Image
店,"てん,みせ","(L14) store, shop
kunyomi: みせ, たな
onyomi: テン",Type the reading!,Image
去,"きょ,こ,さ","(L14) gone, past, quit, leave, elapse, eliminate, divorce
kunyomi: さ.る, -さ.る
onyomi: キョ, コ",Type the reading!,Image
急,"きゅう,いそ","(L14) hurry, emergency, sudden, steep
kunyomi: いそ.ぐ, いそ.ぎ, せ.く
onyomi: キュウ",Type the reading!,Image
乗,"じょう,の","(L14) ride, power, multiplication, record, counter for vehicles, board, mount, join
kunyomi: の.る, -の.り, の.せる
onyomi: ジョウ, ショウ",Type the reading!,Image
当,"とう,あ","(L14) hit, right, appropriate, himself
kunyomi: あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし
onyomi: トウ",Type the reading!,Image
音,"おん,おと,ね","(L14) sound, noise
kunyomi: おと, ね
onyomi: オン, イン, -ノン",Type the reading!,Image
楽,"がく,がっ,らく,たの","(L14) music, comfort, ease
kunyomi: たの.しい, たの.しむ, この.む
onyomi: ガク, ラク, ゴウ",Type the reading!,Image
医,い,"(L14) doctor, medicine
kunyomi: い.やす, い.する, くすし
onyomi: イ",Type the reading!,Image
者,"しゃ,じゃ,もの","(L14) someone, person
kunyomi: もの
onyomi: シャ",Type the reading!,Image
死,"し,し","(L15) death, die
kunyomi: し.ぬ, し.に-
onyomi: シ",Type the reading!,Image
意,い,"(L15) idea, mind, heart, taste, thought, desire, care, liking
kunyomi: 
onyomi: イ",Type the reading!,Image
味,"み,あじ","(L15) flavor, taste
kunyomi: あじ, あじ.わう
onyomi: ミ",Type the reading!,Image
注,"ちゅう,そそ","(L15) pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate
kunyomi: そそ.ぐ, さ.す, つ.ぐ
onyomi: チュウ",Type the reading!,Image
夏,"か,なつ","(L15) summer
kunyomi: なつ
onyomi: カ, ガ, ゲ",Type the reading!,Image
魚,"ぎょ,さかな,うお","(L15) fish
kunyomi: うお, さかな, -ざかな
onyomi: ギョ",Type the reading!,Image
寺,"じ,てら,でら","(L15) Buddhist temple
kunyomi: てら
onyomi: ジ",Type the reading!,Image
広,"こう,ひろ","(L15) wide, broad, spacious
kunyomi: ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる
onyomi: コウ",Type the reading!,Image
足,"そく,あし,た","(L15) leg, foot, be sufficient, counter for pairs of footwear
kunyomi: あし, た.りる, た.る, た.す
onyomi: ソク",Type the reading!,Image
転,"てん,ころ","(L15) revolve, turn around, change
kunyomi: ころ.がる, ころ.げる, ころ.がす, ころ.ぶ, まろ.ぶ, うたた, うつ.る, くる.めく
onyomi: テン",Type the reading!,Image
借,"しゃく,しゃっ,か","(L15) borrow, rent
kunyomi: か.りる
onyomi: シャク",Type the reading!,Image
走,"そう,はし","(L15) run
kunyomi: はし.る
onyomi: ソウ",Type the reading!,Image
場,"じょう,ば","(L15) location, place
kunyomi: ば
onyomi: ジョウ, チョウ",Type the reading!,Image
建,"けん,たて,た","(L15) build
kunyomi: た.てる, た.て, -だ.て, た.つ
onyomi: ケン, コン",Type the reading!,Image
地,"ち,じ","(L15) ground, earth
kunyomi: 
onyomi: チ, ジ",Type the reading!,Image
通,"つう,とお,かよ","(L15) traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.
kunyomi: とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う
onyomi: ツウ, ツ",Type the reading!,Image
供,"きょう,ども,そな","(L16) submit, offer, present, serve (meal), accompany
kunyomi: そな.える, とも, -ども
onyomi: キョウ, ク, クウ, グ",Type the reading!,Image
世,"せ,せい,よ","(L16) generation, world, society, public
kunyomi: よ
onyomi: セイ, セ, ソウ",Type the reading!,Image
界,かい,"(L16) world, boundary
kunyomi: 
onyomi: カイ",Type the reading!,Image
全,"ぜん,まった,すべ","(L16) whole, entire, all, complete, fulfill
kunyomi: まった.く, すべ.て
onyomi: ゼン",Type the reading!,Image
部,"ぶ,へ","(L16) section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine
kunyomi: -べ
onyomi: ブ",Type the reading!,Image
始,"し,はじ","(L16) commence, begin
kunyomi: はじ.める, -はじ.める, はじ.まる
onyomi: シ",Type the reading!,Image
週,しゅう,"(L16) week
kunyomi: 
onyomi: シュウ",Type the reading!,Image
考,"こう,かんが","(L16) consider, think over
kunyomi: かんが.える, かんが.え
onyomi: コウ",Type the reading!,Image
開,"かい,あ,ひら","(L16) open, unfold, unseal
kunyomi: ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける
onyomi: カイ",Type the reading!,Image
屋,"おく,や","(L16) roof, house, shop, dealer, seller
kunyomi: や
onyomi: オク",Type the reading!,Image
方,"ほう,かた,がた","(L16) direction, person, alternative
kunyomi: かた, -かた, -がた
onyomi: ホウ",Type the reading!,Image
運,"うん,はこ","(L16) carry, luck, destiny, fate, lot, transport, progress, advance
kunyomi: はこ.ぶ
onyomi: ウン",Type the reading!,Image
動,"どう,うご","(L16) move, motion, change, confusion, shift, shake
kunyomi: うご.く, うご.かす
onyomi: ドウ",Type the reading!,Image
教,"きょう,おし","(L16) teach, faith, doctrine
kunyomi: おし.える, おそ.わる
onyomi: キョウ",Type the reading!,Image
室,しつ,"(L16) room, apartment, chamber, greenhouse, cellar
kunyomi: むろ
onyomi: シツ",Type the reading!,Image
以,い,"(L16) by means of, because, in view of, compared with
kunyomi: もっ.て
onyomi: イ",Type the reading!,Image
野,"や,の","(L17) plains, field, rustic, civilian life
kunyomi: の, の-
onyomi: ヤ, ショ",Type the reading!,Image
習,"しゅう,なら","(L17) learn
kunyomi: なら.う, なら.い
onyomi: シュウ, ジュ",Type the reading!,Image
主,"しゅ,おも,ぬし","(L17) lord, chief, master, main thing, principal
kunyomi: ぬし, おも, あるじ
onyomi: シュ, ス, シュウ",Type the reading!,Image
歳,"さい,せい","(L17) year-end, age, occasion, opportunity
kunyomi: とし, とせ, よわい
onyomi: サイ, セイ",Type the reading!,Image
