Question,Answers,Comment,Instructions,Render as
高校,こうこう,(会L1) [n.] high school,Type the reading!,Image
高校生,こうこうせい,(会L1) [n.] high school student,Type the reading!,Image
国際関係,こくさいかんけい,(会L1) [n.] international relations,Type the reading!,Image
午後,ごご,(会L1) [n.] p.m.,Type the reading!,Image
五時,ごじ,(会L1(e)) [n.] five o’clock,Type the reading!,Image
午前,ごぜん,(会L1) [n.] a.m.,Type the reading!,Image
五分,ごふん,(会L1(e)) [n.] five minutes,Type the reading!,Image
コンピューター,コンピューター,"(会L1, 会L2) [n.] computer",Type the reading!,Image
～歳,～さい,(会L1) [suf.] . . . years old,Type the reading!,Image
～さん,～さん,(会L1) [suf.] Mr./Ms. . . .,Type the reading!,Image
三時,さんじ,(会L1(e)) [n.] three o’clock,Type the reading!,Image
三十分,さんじっぷん/さんじゅっぷん,(会L1(e)) [n.] thirty minutes,Type the reading!,Image
三分,さんぷん,(会L1(e)) [n.] three minutes,Type the reading!,Image
～時,～じ,(会L1) [suf.] o’clock,Type the reading!,Image
七時,しちじ,(会L1(e)) [n.] seven o’clock,Type the reading!,Image
十分,"じっぷん,じゅっぷん",(会L1(e)) [n.] ten minutes,Type the reading!,Image
十一時,じゅういちじ,(会L1(e)) [n.] eleven o’clock,Type the reading!,Image
十一分,じゅういっぷん,(会L1(e)) [n.] eleven minutes,Type the reading!,Image
十九分,じゅうきゅうふん,(会L1(e)) [n.] nineteen minutes,Type the reading!,Image
十五分,じゅうごふん,(会L1(e)) [n.] fifteen minutes,Type the reading!,Image
十三分,じゅうさんぷん,(会L1(e)) [n.] thirteen minutes,Type the reading!,Image
十時,じゅうじ,(会L1(e)) [n.] ten o’clock,Type the reading!,Image
十七分,じゅうななふん,(会L1(e)) [n.] seventeen minutes,Type the reading!,Image
十二時,じゅうにじ,(会L1(e)) [n.] twelve o’clock,Type the reading!,Image
十二分,じゅうにふん,(会L1(e)) [n.] twelve minutes,Type the reading!,Image
十八分,じゅうはちふん/じゅうはっぷん,(会L1(e)) [n.] eighteen minutes,Type the reading!,Image
十四分,じゅうよんぷん,(会L1(e)) [n.] fourteen minutes,Type the reading!,Image
十六分,じゅうろっぷん,(会L1(e)) [n.] sixteen minutes,Type the reading!,Image
主婦,しゅふ,(会L1) [n.] housewife,Type the reading!,Image
～人,"～じん,～にん","(会L1, 会L7) [suf.] . . . people; [counter for people]",Type the reading!,Image
政治,せいじ,"(会L1, 会L12) [n.] politics",Type the reading!,Image
生物学,せいぶつがく,(会L1) [n.] biology,Type the reading!,Image
専攻,せんこう,(会L1) [n.] major,Type the reading!,Image
先生,せんせい,(会L1) [n.] teacher; Professor . . .,Type the reading!,Image
そうです,そうです,(会L1) [exp.] That’s right.,Type the reading!,Image
そうですか,そうですか,(会L1) [exp.] I see.; Is that so?,Type the reading!,Image
大学,だいがく,(会L1) [n.] college; university,Type the reading!,Image
大学院生,だいがくいんせい,(会L1) [n.] graduate student,Type the reading!,Image
大学生,だいがくせい,(会L1) [n.] college student,Type the reading!,Image
中国,ちゅうごく,"(会L1, 会L2) [n.] China",Type the reading!,Image
電話,でんわ,(会L1) [n.] telephone,Type the reading!,Image
友だち,ともだち,(会L1) [n.] friend,Type the reading!,Image
七分,ななふん,(会L1(e)) [n.] seven minutes,Type the reading!,Image
何,"なに/なん,なん/なに",(会L1) [n.] what,Type the reading!,Image
名前,なまえ,(会L1) [n.] name,Type the reading!,Image
二時,にじ,(会L1(e)) [n.] two o’clock,Type the reading!,Image
二十分,"にじっぷん,にじゅっぷん",(会L1(e)) [n.] twenty minutes,Type the reading!,Image
二時半,にじはん,(会L1) [n.] half past two,Type the reading!,Image
二分,にふん,(会L1(e)) [n.] two minutes,Type the reading!,Image
日本,にほん,(会L1) [n.] Japan,Type the reading!,Image
日本語,にほんご,(会L1) [n.] Japanese language,Type the reading!,Image
日本人,にほんじん,(会L1) [n.] Japanese people,Type the reading!,Image
～年生,～ねんせい,(会L1) [suf.] . . . year student,Type the reading!,Image
はい,はい,(会L1) [exp.] yes,Type the reading!,Image
八時,はちじ,(会L1(e)) [n.] eight o’clock,Type the reading!,Image
八分,"はちふん,はっぷん",(会L1(e)) [n.] eight minutes,Type the reading!,Image
半,はん,(会L1) [suf.] half,Type the reading!,Image
～番,～ばん,"(会L1, 会L11(e)) [suf.] number . . .",Type the reading!,Image
番号,ばんごう,(会L1) [n.] number,Type the reading!,Image
ビジネス,ビジネス,"(会L1, 会L2) [n.] business",Type the reading!,Image
フィリピン,フィリピン,(会L1) [n.] Philippines,Type the reading!,Image
文学,ぶんがく,"(会L1, 読L7-II) [n.] literature",Type the reading!,Image
弁護士,べんごし,"(会L1, 会L13) [n.] lawyer",Type the reading!,Image
四時,よじ,(会L1(e)) [n.] four o’clock,Type the reading!,Image
四分,よんぷん,(会L1(e)) [n.] four minutes,Type the reading!,Image
留学生,りゅうがくせい,(会L1) [n.] international student,Type the reading!,Image
歴史,れきし,"(会L1, 会L2) [n.] history",Type the reading!,Image
六時,ろくじ,(会L1(e)) [n.] six o’clock,Type the reading!,Image
六分,ろっぷん,(会L1(e)) [n.] six minutes,Type the reading!,Image
あそこ,あそこ,(会L2) [n.] over there,Type the reading!,Image
あの,あの,(会L2) [pre.] that . . . (over there),Type the reading!,Image
あれ,あれ,(会L2) [n.] that one (over there),Type the reading!,Image
いくら,いくら,(会L2) [n.] how much,Type the reading!,Image
いす,いす,"(会L2(e), 会L4) [n.] chair",Type the reading!,Image
いらっしゃいませ,いらっしゃいませ,(会L2) [exp.] Welcome (to our store).,Type the reading!,Image
英語,えいご,(会L2) [n.] English language,Type the reading!,Image
～円,～えん,(会L2) [suf.] . . . yen,Type the reading!,Image
おいしい,おいしい,(会L2) [い-adj.] delicious,Type the reading!,Image
おねがいします（～を）,おねがいします（～を）,"(会L2) [exp.] . . . , please.",Type the reading!,Image
カーテン,カーテン,"(会L2(e), 会L18) [n.] curtain",Type the reading!,Image
傘,かさ,(会L2) [n.] umbrella,Type the reading!,Image
かばん,かばん,(会L2) [n.] bag,Type the reading!,Image
銀行,ぎんこう,(会L2) [n.] bank,Type the reading!,Image
ください（～を）,ください（～を）,(会L2) [exp.] Please give me . . .,Type the reading!,Image
靴,くつ,(会L2) [n.] shoes,Type the reading!,Image
消しゴム,けしゴム,(会L2(e)) [n.] eraser,Type the reading!,Image
黒板,こくばん,(会L2(e)) [n.] blackboard,Type the reading!,Image
ここ,ここ,(会L2) [n.] here,Type the reading!,Image
この,この,(会L2) [pre.] this . . .,Type the reading!,Image
これ,これ,(会L2) [n.] this one,Type the reading!,Image
コンビニ,コンビニ,(会L2) [n.] convenience store,Type the reading!,Image
財布,さいふ,(会L2) [n.] wallet,Type the reading!,Image
魚,さかな,(会L2) [n.] fish,Type the reading!,Image
ジーンズ,ジーンズ,(会L2) [n.] jeans,Type the reading!,Image
辞書,じしょ,"(会L2(e), 会L15) [n.] dictionary",Type the reading!,Image
自転車,じてんしゃ,(会L2) [n.] bicycle,Type the reading!,Image
じゃあ,じゃあ,"(会L2) [exp.] then . . . ; if that is the case, . . .",Type the reading!,Image
新聞,しんぶん,(会L2) [n.] newspaper,Type the reading!,Image
スマホ,スマホ,(会L2) [n.] smartphone; mobile,Type the reading!,Image
そこ,そこ,(会L2) [n.] there,Type the reading!,Image
その,その,(会L2) [pre.] that . . .,Type the reading!,Image
それ,それ,(会L2) [n.] that one,Type the reading!,Image
高い,たかい,(会L2) [い-adj.] expensive; high,Type the reading!,Image
だれ,だれ,(会L2) [n.] who,Type the reading!,Image
机,つくえ,"(会L2(e), 会L4) [n.] desk",Type the reading!,Image
Ｔシャツ,ティーシャツ,(会L2) [n.] T-shirt,Type the reading!,Image
電気,でんき,"(会L2(e), 会L6) [n.] electricity; light",Type the reading!,Image
ドア,ドア,"(会L2(e), 読L13-III) [n.] door",Type the reading!,Image
トイレ,トイレ,(会L2) [n.] toilet; restroom,Type the reading!,Image
どうぞ,どうぞ,(会L2) [exp.] Please.; Here it is.,Type the reading!,Image
どうも,どうも,(会L2) [exp.] Thank you.,Type the reading!,Image
時計,とけい,(会L2) [n.] watch; clock,Type the reading!,Image
どこ,どこ,(会L2) [n.] where,Type the reading!,Image
図書館,としょかん,(会L2) [n.] library,Type the reading!,Image
どの,どの,(会L2) [pre.] which . . .,Type the reading!,Image
どれ,どれ,(会L2) [n.] which one,Type the reading!,Image
とんかつ,とんかつ,(会L2) [n.] pork cutlet,Type the reading!,Image
肉,にく,(会L2) [n.] meat,Type the reading!,Image
ノート,ノート,(会L2) [n.] notebook,Type the reading!,Image
ペン,ペン,(会L2) [n.] pen,Type the reading!,Image
帽子,ぼうし,(会L2) [n.] hat; cap,Type the reading!,Image
本,ほん,"(会L2, 会L2(e)) [n.] book",Type the reading!,Image
窓,まど,"(会L2(e), 会L6) [n.] window",Type the reading!,Image
メニュー,メニュー,(会L2) [n.] menu,Type the reading!,Image
野菜,やさい,(会L2) [n.] vegetable,Type the reading!,Image
郵便局,ゆうびんきょく,(会L2) [n.] post office,Type the reading!,Image
アイスクリーム,アイスクリーム,(会L3) [n.] ice cream,Type the reading!,Image
朝,あさ,(会L3) [n.] morning,Type the reading!,Image
朝ご飯,あさごはん,(会L3) [n.] breakfast,Type the reading!,Image
明日,あした,"(会L3, 会L4(e)) [n.] tomorrow",Type the reading!,Image
あまり ＋ negative,あまり ＋ negative,(会L3) [adv.] not much,Type the reading!,Image
いい,いい,(会L3) [い-adj.] good,Type the reading!,Image
家,いえ,(会L3) [n.] home; house,Type the reading!,Image
行く,いく,(会L3) [u-v.] to go,Type the reading!,Image
いつ,いつ,(会L3) [n.] when,Type the reading!,Image
うち,うち,(会L3) [n.] home; house; my place,Type the reading!,Image
映画,えいが,(会L3) [n.] movie,Type the reading!,Image
ええ,ええ,(会L3) [exp.] yes,Type the reading!,Image
起きる,おきる,(会L3) [ru-v.] to get up ,Type the reading!,Image
お酒,おさけ,(会L3) [n.] sake; alcoholic drink,Type the reading!,Image
お茶,おちゃ,(会L3) [n.] green tea,Type the reading!,Image
音楽,おんがく,(会L3) [n.] music,Type the reading!,Image
帰る,かえる,(会L3) [u-v.] to go back; to return,Type the reading!,Image
学校,がっこう,(会L3) [n.] school,Type the reading!,Image
カフェ,カフェ,(会L3) [n.] cafe,Type the reading!,Image
今日,きょう,"(会L3, 会L4(e)) [n.] today",Type the reading!,Image
来る,くる,(会L3) [irr-v.] to come ,Type the reading!,Image
コーヒー,コーヒー,(会L3) [n.] coffee,Type the reading!,Image
～ごろ,～ごろ,(会L3) [suf.] at about . . .,Type the reading!,Image
今晩,こんばん,(会L3) [n.] tonight,Type the reading!,Image
酒,さけ,(会L3) [n.] sake; alcohol,Type the reading!,Image
雑誌,ざっし,(会L3) [n.] magazine,Type the reading!,Image
週末,しゅうまつ,(会L3) [n.] weekend,Type the reading!,Image
スポーツ,スポーツ,(会L3) [n.] sports,Type the reading!,Image
全然,ぜんぜん ＋ negative,(会L3) [adv.] not at all,Type the reading!,Image
そうですね,そうですね,(会L3) [exp.] That’s right.; Let me see.,Type the reading!,Image
たいてい,たいてい,(会L3) [adv.] usually,Type the reading!,Image
食べる,たべる,(会L3) [ru-v.] to eat ,Type the reading!,Image
茶,ちゃ,(会L3) [n.] green tea,Type the reading!,Image
ちょっと,ちょっと,(会L3) [adv.] a little,Type the reading!,Image
デート,デート,"(会L3) [n.] date (romantic, not calendar)",Type the reading!,Image
テニス,テニス,(会L3) [n.] tennis,Type the reading!,Image
でも,でも,(会L3) [exp.] but,Type the reading!,Image
テレビ,テレビ,(会L3) [n.] TV,Type the reading!,Image
どうですか,どうですか,(会L3) [exp.] How about . . . ?; How is . . . ?,Type the reading!,Image
時々,ときどき,(会L3) [adv.] sometimes,Type the reading!,Image
土曜日,どようび,"(会L3, 会L4(e)) [n.] Saturday",Type the reading!,Image
日曜日,にちようび,"(会L3, 会L4(e)) [n.] Sunday",Type the reading!,Image
寝る,ねる,(会L3) [ru-v.] to sleep; to go to sleep ,Type the reading!,Image
飲む,のむ,(会L3) [u-v.] to drink,Type the reading!,Image
話す,はなす,(会L3) [u-v.] to speak; to talk,Type the reading!,Image
早い,はやい,(会L3) [い-adj.] early,Type the reading!,Image
晩ご飯,ばんごはん,(会L3) [n.] dinner,Type the reading!,Image
ハンバーガー,ハンバーガー,(会L3) [n.] hamburger,Type the reading!,Image
昼ご飯,ひるごはん,(会L3) [n.] lunch,Type the reading!,Image
勉強する,べんきょうする,(会L3) [irr-v.] to study ,Type the reading!,Image
毎日,まいにち,(会L3) [n.] every day,Type the reading!,Image
毎晩,まいばん,(会L3) [n.] every night,Type the reading!,Image
水,みず,(会L3) [n.] water,Type the reading!,Image
見る,みる,(会L3) [ru-v.] to see; to look at; to watch ,Type the reading!,Image
よく,よく,"(会L3, 会L14) [adv.] often; much; well",Type the reading!,Image
読む,よむ,(会L3) [u-v.] to read,Type the reading!,Image
間,あいだ,(会L4) [n.] between,Type the reading!,Image
会う,あう,(会L4) [u-v.] to meet; to see (a person),Type the reading!,Image
あさって,あさって,"(会L4(e), 会L8) [n.] the day after tomorrow",Type the reading!,Image
あなた,あなた,(会L4) [n.] you,Type the reading!,Image
ある,ある,(会L4) [u-v.] there is . . .,Type the reading!,Image
アルバイト,アルバイト,(会L4) [n.] part-time job,Type the reading!,Image
一月,いちがつ,(会L4(e)) [n.] January,Type the reading!,Image
一時間,いちじかん,(会L4) [n.] one hour,Type the reading!,Image
犬,いぬ,(会L4) [n.] dog,Type the reading!,Image
いる,いる,"(会L4, 会L8) [ru-v., u-v.] (a person) is in . . . ; stays at . . . ; to need",Type the reading!,Image
上,うえ,(会L4) [n.] on,Type the reading!,Image
後ろ,うしろ,(会L4) [n.] back,Type the reading!,Image
遅く,おそく,"(読L4-III, 会L8) [adv.] (do something) late",Type the reading!,Image
お寺,おてら,(会L4) [n.] temple,Type the reading!,Image
おととい,おととい,"(会L4(e), 会L19) [n.] the day before yesterday",Type the reading!,Image
おととし,おととし,(会L4(e)) [n.] the year before last,Type the reading!,Image
おまんじゅう,おまんじゅう,(読L4-III) [n.] sweet bun,Type the reading!,Image
買い物,かいもの,(会L4) [n.] shopping,Type the reading!,Image
買う,かう,(会L4) [u-v.] to buy,Type the reading!,Image
書く,かく,(会L4) [u-v.] to write,Type the reading!,Image
火曜日,かようび,"(会L4, 会L4(e)) [n.] Tuesday",Type the reading!,Image
昨日,きのう,"(会L4, 会L4(e)) [n.] yesterday",Type the reading!,Image
去年,きょねん,"(会L4(e), 会L9) [n.] last year",Type the reading!,Image
金曜日,きんようび,"(会L4, 会L4(e)) [n.] Friday",Type the reading!,Image
九月,くがつ,(会L4(e)) [n.] September,Type the reading!,Image
～ぐらい,～ぐらい,(会L4) [suf.] about (approximate measurement),Type the reading!,Image
クラス,クラス,(会L4) [n.] class,Type the reading!,Image
ゲーム,ゲーム,(会L4) [n.] game,Type the reading!,Image
月曜日,げつようび,"(会L4, 会L4(e)) [n.] Monday",Type the reading!,Image
公園,こうえん,(会L4) [n.] park,Type the reading!,Image
五月,ごがつ,(会L4(e)) [n.] May,Type the reading!,Image
今年,ことし,"(会L4(e), 会L10) [n.] this year",Type the reading!,Image
子供,こども,(会L4) [n.] child,Type the reading!,Image
ご飯,ごはん,(会L4) [n.] rice; meal,Type the reading!,Image
ごめんなさい,ごめんなさい,(会L4) [exp.] I’m sorry.,Type the reading!,Image
今月,こんげつ,"(会L4(e), 会L8) [n.] this month",Type the reading!,Image
今週,こんしゅう,"(会L4(e), 会L6) [n.] this week",Type the reading!,Image
再来月,さらいげつ,(会L4(e)) [n.] the month after next,Type the reading!,Image
再来週,さらいしゅう,(会L4(e)) [n.] the week after next,Type the reading!,Image
再来年,さらいねん,(会L4(e)) [n.] the year after next,Type the reading!,Image
三月,さんがつ,(会L4(e)) [n.] March,Type the reading!,Image
四月,しがつ,(会L4(e)) [n.] April,Type the reading!,Image
～時間,～じかん,(会L4) [suf.] . . . hours,Type the reading!,Image
下,した,(会L4) [n.] under,Type the reading!,Image
七月,しちがつ,(会L4(e)) [n.] July,Type the reading!,Image
写真,しゃしん,(会L4) [n.] picture; photograph,Type the reading!,Image
十一月,じゅういちがつ,(会L4(e)) [n.] November,Type the reading!,Image
十一日,じゅういちにち,(会L4(e)) [n.] the eleventh day of a month,Type the reading!,Image
十月,じゅうがつ,(会L4(e)) [n.] October,Type the reading!,Image
十二月,じゅうにがつ,(会L4(e)) [n.] December,Type the reading!,Image
十四日,じゅうよっか,(会L4(e)) [n.] the fourteenth day of a month,Type the reading!,Image
水曜日,すいようび,"(会L4, 会L4(e)) [n.] Wednesday",Type the reading!,Image
スーパー,スーパー,(会L4) [n.] supermarket,Type the reading!,Image
先月,せんげつ,"(会L4(e), 会L9) [n.] last month",Type the reading!,Image
先週,せんしゅう,"(会L4, 会L4(e)) [n.] last week",Type the reading!,Image
それから,それから,(会L4) [adv.] and then,Type the reading!,Image
だから,だから,(会L4) [adv.] so; therefore,Type the reading!,Image
たくさん,たくさん,(会L4) [adv.] many; a lot,Type the reading!,Image
近く,ちかく,(会L4) [n.] near; nearby,Type the reading!,Image
寺,てら,(会L4) [n.] temple,Type the reading!,Image
～と,～と,(会L4) [part.] together with (a person); and,Type the reading!,Image
どうして,どうして,(会L4) [adv.] why,Type the reading!,Image
時,とき,(会L4) [n.] when . . . ; at the time of . . .,Type the reading!,Image
隣,となり,(会L4) [n.] next,Type the reading!,Image
撮る,とる,(会L4) [u-v.] to take (a picture),Type the reading!,Image
中,なか,(会L4) [n.] inside,Type the reading!,Image
二か月前,にかげつまえ,(会L4(e)) [n.] two months ago,Type the reading!,Image
二月,にがつ,(会L4(e)) [n.] February,Type the reading!,Image
二週間前,にしゅうかんまえ,(会L4(e)) [n.] two weeks ago,Type the reading!,Image
二十四日,にじゅうよっか,(会L4(e)) [n.] the twenty-fourth day of a month,Type the reading!,Image
猫,ねこ,(会L4) [n.] cat,Type the reading!,Image
バス停,バスてい,(会L4) [n.] bus stop,Type the reading!,Image
八月,はちがつ,(会L4(e)) [n.] August,Type the reading!,Image
二十日,はつか,(会L4(e)) [n.] the twentieth day of a month,Type the reading!,Image
花,はな,(会L4) [n.] flower,Type the reading!,Image
パン,パン,(会L4) [n.] bread,Type the reading!,Image
左,ひだり,(会L4) [n.] left,Type the reading!,Image
人,ひと,(会L4) [n.] person,Type the reading!,Image
一人で,ひとりで,(会L4) [adv.] alone,Type the reading!,Image
病院,びょういん,(会L4) [n.] hospital,Type the reading!,Image
二日,ふつか,"(会L4(e), 会L13) [n.] the second day of a month; two days",Type the reading!,Image
ホテル,ホテル,(会L4) [n.] hotel,Type the reading!,Image
本屋,ほんや,(会L4) [n.] bookstore,Type the reading!,Image
町,まち,(会L4) [n.] town; city,Type the reading!,Image
待つ,まつ,(会L4) [u-v.] to wait,Type the reading!,Image
まんじゅう,まんじゅう,(読L4-III) [n.] sweet bun,Type the reading!,Image
右,みぎ,(会L4) [n.] right,Type the reading!,Image
店,みせ,"(読L4-III, 会L13) [n.] shop; store",Type the reading!,Image
三日,みっか,"(会L4(e), 会L13) [n.] the third day of a month; three days",Type the reading!,Image
木曜日,もくようび,"(会L4, 会L4(e)) [n.] Thursday",Type the reading!,Image
もしもし,もしもし,(会L4) [exp.] Hello? (used on the phone),Type the reading!,Image
来月,らいげつ,"(会L4(e), 会L8) [n.] next month",Type the reading!,Image
来週,らいしゅう,"(会L4(e), 会L6) [n.] next week",Type the reading!,Image
来年,らいねん,"(会L4(e), 会L6) [n.] next year",Type the reading!,Image
レストラン,レストラン,(会L4) [n.] restaurant,Type the reading!,Image
レポート,レポート,(会L4) [n.] (term) paper,Type the reading!,Image
六月,ろくがつ,(会L4(e)) [n.] June,Type the reading!,Image
わかる,わかる,(会L4) [u-v.] to understand,Type the reading!,Image
新しい,あたらしい,(会L5) [い-adj.] new,Type the reading!,Image
熱い,あつい,(会L5) [い-adj.] hot (thing),Type the reading!,Image
暑い,あつい,(会L5) [い-adj.] hot (weather),Type the reading!,Image
忙しい,いそがしい,(会L5) [い-adj.] busy (people/days),Type the reading!,Image
一緒に,いっしょに,(会L5) [adv.] together,Type the reading!,Image
海,うみ,(会L5) [n.] sea,Type the reading!,Image
Ｌサイズ,エルサイズ,(会L5) [n.] size L,Type the reading!,Image
大きい,おおきい,(会L5) [い-adj.] large,Type the reading!,Image
お城,おしろ,(読L5-II) [n.] castle,Type the reading!,Image
男の人,おとこのひと,"(読L5-II, 会L7) [n.] man",Type the reading!,Image
お土産,おみやげ,(会L5) [n.] souvenir,Type the reading!,Image
面白い,おもしろい,(会L5) [い-adj.] interesting; funny,Type the reading!,Image
泳ぐ,およぐ,(会L5) [u-v.] to swim,Type the reading!,Image
女の人,おんなのひと,"(読L5-II, 会L7) [n.] woman",Type the reading!,Image
～が,～が,"(読L5-II, 会L7) [part.] . . . , but",Type the reading!,Image
かっこいい,かっこいい,(会L5) [い-adj.] good-looking,Type the reading!,Image
聞く,きく,"(会L5, 会L3) [u-v.] to ask; to listen; to hear",Type the reading!,Image
嫌い,きらい（な）,(会L5) [な-adj.] disgusted with; to dislike,Type the reading!,Image
きれい（な）,きれい（な）,(会L5) [な-adj.] beautiful; clean,Type the reading!,Image
果物,くだもの,(会L5) [n.] fruit,Type the reading!,Image
元気,げんき（な）,(会L5) [な-adj.] healthy; energetic,Type the reading!,Image
怖い,こわい,(会L5) [い-adj.] frightening,Type the reading!,Image
サーフィン,サーフィン,(会L5) [n.] surfing,Type the reading!,Image
～様,～さま,(読L5-II) [suf.] Mr./Ms. . . .,Type the reading!,Image
寒い,さむい,(会L5) [い-adj.] cold (weather),Type the reading!,Image
静か,しずか（な）,(会L5) [な-adj.] quiet,Type the reading!,Image
宿題,しゅくだい,(会L5) [n.] homework,Type the reading!,Image
城,しろ,(読L5-II) [n.] castle,Type the reading!,Image
好き,すき（な）,(会L5) [な-adj.] fond of; to like,Type the reading!,Image
すごく,すごく,(会L5) [adv.] extremely,Type the reading!,Image
大嫌い,だいきらい（な）,(会L5) [な-adj.] to hate,Type the reading!,Image
大丈夫,だいじょうぶ,(会L5) [exp.] It’s okay.; Not to worry.; Everything is under control.,Type the reading!,Image
大好き,だいすき（な）,(会L5) [な-adj.] very fond of; to love,Type the reading!,Image
大変,たいへん（な）,"(読L5-II, 会L6) [な-adj.] tough (situation)",Type the reading!,Image
楽しい,たのしい,(会L5) [い-adj.] fun,Type the reading!,Image
食べ物,たべもの,(会L5) [n.] food,Type the reading!,Image
誕生日,たんじょうび,(会L5) [n.] birthday,Type the reading!,Image
小さい,ちいさい,(会L5) [い-adj.] small,Type the reading!,Image
つまらない,つまらない,(会L5) [い-adj.] boring,Type the reading!,Image
出かける,でかける,(会L5) [ru-v.] to go out ,Type the reading!,Image
テスト,テスト,(会L5) [n.] test,Type the reading!,Image
では、お元気で,では、おげんきで,(読L5-II) [exp.] Take care.,Type the reading!,Image
天気,てんき,(会L5) [n.] weather,Type the reading!,Image
とても,とても,(会L5) [adv.] very,Type the reading!,Image
どんな,どんな,(会L5) [pre.] what kind of . . .,Type the reading!,Image
にぎやか（な）,にぎやか（な）,(会L5) [な-adj.] lively,Type the reading!,Image
飲み物,のみもの,(会L5) [n.] drink,Type the reading!,Image
乗る,のる,(会L5) [u-v.] to ride; to board,Type the reading!,Image
バス,バス,(会L5) [n.] bus,Type the reading!,Image
暇,ひま（な）,(会L5) [な-adj.] not busy; free (time),Type the reading!,Image
古い,ふるい,(会L5) [い-adj.] old (thing),Type the reading!,Image
部屋,へや,(会L5) [n.] room,Type the reading!,Image
僕,ぼく,(会L5) [n.] I (used by men),Type the reading!,Image
～枚,～まい,"(会L5, 会L14(e)) [suf.] [counter for flat objects]",Type the reading!,Image
土産,みやげ,(会L5) [n.] souvenir,Type the reading!,Image
難しい,むずかしい,(会L5) [い-adj.] difficult,Type the reading!,Image
メキシコ,メキシコ,(読L5-II) [n.] Mexico,Type the reading!,Image
やさしい,やさしい,(会L5) [い-adj.] easy (problem); kind (person),Type the reading!,Image
安い,やすい,(会L5) [い-adj.] inexpensive; cheap (thing),Type the reading!,Image
休み,やすみ,(会L5) [n.] holiday; day off; absence,Type the reading!,Image
